Sample in Buffer,Sample in Window,TRIGGER,ap_idle,ap_ready,ap_done,ap_start_1,layer18_out_TREADY,layer18_out_TVALID,layer18_out_TDATA[15:0],input_layer_TREADY,input_layer_TVALID,input_layer_TDATA[7:0],sending_active,event_counter[9:0],byte_counter[6:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,1,0,0,1,1,1,1,0001,1,1,00,1,002,0b
1,1,0,0,0,0,1,1,0,0001,0,1,00,1,002,0c
2,0,1,0,0,1,1,1,1,0186,0,1,00,1,004,42
3,1,0,0,0,0,1,1,0,0186,0,1,00,1,004,42
4,0,1,0,0,1,1,1,1,03dc,0,1,00,1,005,1f
5,1,0,0,0,0,1,1,0,03dc,0,1,00,1,005,1f
6,0,1,0,0,1,1,1,1,03eb,0,1,00,1,007,55
7,1,0,0,0,0,1,1,0,03eb,1,1,00,1,007,55
8,0,1,0,0,1,1,1,1,0002,0,1,00,1,008,34
9,1,0,0,0,0,1,1,0,0002,1,1,00,1,008,34
10,0,1,0,0,1,1,1,1,00b6,0,1,00,1,00a,6a
11,1,0,0,0,0,1,1,0,00b6,0,1,00,1,00a,6a
12,0,1,0,0,1,1,1,1,024b,1,1,00,1,00b,47
13,1,0,0,0,0,1,1,0,024b,0,1,00,1,00b,48
14,0,1,0,0,1,1,1,1,036c,0,1,00,1,00d,7e
15,1,0,0,0,0,1,1,0,036c,0,1,00,1,00d,7e
16,0,1,0,0,1,1,1,1,00d1,0,1,00,1,00e,5d
17,1,0,0,0,0,1,1,0,00d1,0,1,00,1,00e,5d
18,0,1,0,0,1,1,1,1,0392,0,1,00,1,010,58
19,1,0,0,0,0,1,1,0,0392,1,1,00,1,010,58
20,0,1,0,0,1,1,1,1,03ac,0,1,00,1,011,58
21,1,0,0,0,0,1,1,0,03ac,1,1,00,1,011,58
22,0,1,0,0,1,1,1,1,0001,0,1,00,1,012,58
23,1,0,0,0,0,1,1,0,0001,1,1,00,1,012,58
24,0,1,0,0,1,1,1,1,038e,0,1,00,1,013,58
25,1,0,0,0,0,1,1,0,038e,1,1,00,1,013,58
26,0,1,0,0,1,1,1,1,000a,0,1,00,1,014,58
27,1,0,0,0,0,1,1,0,000a,1,1,00,1,014,58
28,0,1,0,0,1,1,1,1,03b4,0,1,00,1,015,58
29,1,0,0,0,0,1,1,0,03b4,1,1,00,1,015,58
30,0,1,0,0,1,1,1,1,0382,0,1,00,1,016,58
31,1,0,0,0,0,1,1,0,0382,1,1,00,1,016,58
32,0,1,0,0,1,1,1,1,0307,0,1,00,1,017,58
33,1,0,0,0,0,1,1,0,0307,1,1,00,1,017,58
34,0,1,0,0,1,1,1,1,005a,0,1,00,1,018,58
