Sample in Buffer,Sample in Window,TRIGGER,ap_idle,ap_ready,ap_done,ap_start_1,layer18_out_TREADY,layer18_out_TVALID,layer18_out_TDATA[15:0],input_layer_TREADY,input_layer_TVALID,input_layer_TDATA[7:0],sending_active,event_counter[6:0],byte_counter[9:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,UNSIGNED,UNSIGNED
0,0,1,0,0,1,1,1,1,03a5,1,1,00,1,26,779
1,1,0,0,0,0,1,1,0,03a5,0,1,00,1,26,780
2,2,0,0,0,0,1,1,0,03a5,0,1,00,1,26,780
3,3,0,0,0,0,1,1,0,03a5,1,1,00,1,26,780
4,4,0,0,0,0,1,1,0,03a5,0,1,00,1,26,781
5,5,0,0,0,0,1,1,0,03a5,0,1,00,1,26,781
6,6,0,0,0,0,1,1,0,03a5,1,1,00,1,26,781
7,7,0,0,0,0,1,1,0,03a5,0,1,00,1,26,782
8,0,1,0,0,1,1,1,1,0003,0,1,00,1,28,322
9,1,0,0,0,0,1,1,0,0003,0,1,00,1,28,322
10,2,0,0,0,0,1,1,0,0003,1,1,00,1,28,322
11,3,0,0,0,0,1,1,0,0003,0,1,00,1,28,323
12,4,0,0,0,0,1,1,0,0003,0,1,00,1,28,323
13,5,0,0,0,0,1,1,0,0003,1,1,00,1,28,323
14,6,0,0,0,0,1,1,0,0003,0,1,00,1,28,324
15,7,0,0,0,0,1,1,0,0003,0,1,00,1,28,324
16,0,1,0,0,1,1,1,1,004d,0,1,00,1,29,799
17,1,0,0,0,0,1,1,0,004d,0,1,00,1,29,799
18,2,0,0,0,0,1,1,0,004d,1,1,00,1,29,799
19,3,0,0,0,0,1,1,0,004d,0,1,00,1,29,800
20,4,0,0,0,0,1,1,0,004d,0,1,00,1,29,800
21,5,0,0,0,0,1,1,0,004d,1,1,00,1,29,800
22,6,0,0,0,0,1,1,0,004d,0,1,00,1,29,801
23,7,0,0,0,0,1,1,0,004d,0,1,00,1,29,801
24,0,1,0,0,1,1,1,1,0093,0,1,00,1,31,341
25,1,0,0,0,0,1,1,0,0093,1,1,00,1,31,341
26,2,0,0,0,0,1,1,0,0093,0,1,00,1,31,342
27,3,0,0,0,0,1,1,0,0093,0,1,00,1,31,342
28,4,0,0,0,0,1,1,0,0093,1,1,00,1,31,342
29,5,0,0,0,0,1,1,0,0093,0,1,00,1,31,343
30,6,0,0,0,0,1,1,0,0093,0,1,00,1,31,343
31,7,0,0,0,0,1,1,0,0093,1,1,00,1,31,343
32,0,1,0,0,1,1,1,1,01b4,0,1,00,1,32,820
33,1,0,0,0,0,1,1,0,01b4,1,1,00,1,32,820
34,2,0,0,0,0,1,1,0,01b4,0,1,00,1,32,821
35,3,0,0,0,0,1,1,0,01b4,0,1,00,1,32,821
36,4,0,0,0,0,1,1,0,01b4,1,1,00,1,32,821
37,5,0,0,0,0,1,1,0,01b4,0,1,00,1,32,822
38,6,0,0,0,0,1,1,0,01b4,0,1,00,1,32,822
39,7,0,0,0,0,1,1,0,01b4,1,1,00,1,32,822
